EDH,TM_ID,EDCS
"039898","206011","09800807"
"039899","206012","09800808"
"039902","206014","09800810"
"039903","206015","09800811"
"039906","206016","09800812"
"039910","206018","09800814"
"039913","206021","13003459"
"039914","206022","09800817"
"039917","206023","09800818"
"039918","206024","09800819"
"039919","206025","09800820"
"039920","206026","13003460"
"039922","206027","13003461"
"039923","206028","09800821"
"039925","206029","09800822"
"039926","206030","09800823"
"039927","206031","13003553"
"039929","206032","09800824"
"039931","206034","09800826"
"039933","206035","09800827"
"039935","206036","66200098"
"039936","206037","09800828"
"039938","206038","09800829"
"039940","206039","09800830"
"039941","206040","09800831"
"039942","206041","09800832"
"039944","206042","09800833"
"039946","206043","09800834"
"039948","206044","09800835"
"039950","206046","09800836"
"039952","206047","09800837"
"039953","206048","09800838"
"039954","206049","09800839"
"040003","206050","09800840"
"040004","206051","09800841"
"040005","206052","09800842"
"040006","206053","09800843"
"040007","206054","09800844"
"040009","206055","09800845"
"040010","206056","09800846"
"040011","206057","09800847"
"040014","206059","09800849"
"040016","206060","09800850"
"040017","206061","13003463"
"040018","206062","09800851"
"040019","206063","09800852"
"040020","206064","09800853"
"040021","206065","09800854"
"040022","206066","09800855"
"040024","206068","09800857"
"040025","206069","09800858"
"040026","206070","09800859"
"040027","206071","09800860"
"040028","206072","09800861"
"040029","206073","09800862"
"040030","206074","09800863"
"040036","206075","09800864"
"040038","206076","09800865"
"040039","206077","09800866"
"040041","206078","09800867"
"040042","206079","09800868"
"040044","206081","09800870"
"040046","206082","09800871"
"040048","206083","09800872"
"040049","206084","09800873"
"040053","206087","13003465"
"040054","206088","09800875"
"040056","206090","09800877"
"040058","206091","09800878"
"040059","206092","13003466"
"040061","206094","09800880"
"040062","206095","09800881"
"040064","206096","09800882"
"040065","206097","09800883"
"040067","206098","09800884"
"040068","206099","09800885"
"040071","206100","13003467"
"040073","206102","09800886"
"040074","206103","09800887"
"040075","206104","09800888"
"040076","206105","09800889"
"040078","206107","13003469"
"040079","206108","13003470"
"040081","206110","09800890"
"040084","206111","09800891"
"040085","206112","09800892"
"040086","206113","09800893"
"040088","206114","09800894"
"040094","206115","09800895"
"040095","206116","09800896"
"040096","206117","09800897"
"040097","206118","09800898"
"040099","206119","28000969"
"040100","206120","13003473"
"040102","206121","13003474"
"040103","206122","09800899"
"040106","206124","09800900"
"040107","206125","09800901"
"040108","206126","09800902"
"040115","206129","09800905"
